rank,player,singles,doubles,total_earnings,tour
1,Carlos Alcaraz,21354778,0,21354778,ATP
2,Jannik Sinner,19114396,6245,19120641,ATP
3,Alexander Zverev,7384324,83906,7468230,ATP
4,Alex de Minaur,6616603,49484,6666087,ATP
5,Lorenzo Musetti,6176026,169614,6345640,ATP
6,Taylor Fritz,5919347,19192,5938539,ATP
7,Félix Auger-Aliassime,5786377,33654,5820031,ATP
8,Ben Shelton,5528128,144606,5672734,ATP
9,Novak Djokovic,5127245,12930,5140175,ATP
10,Casper Ruud,3947549,23825,3971374,ATP
1,Aryna Sabalenka,15008519,0,15008519,WTA
2,Iga Świątek,9912532,0,10112532,WTA
3,Elena Rybakina,8430162,16470,8456632,WTA
4,Coco Gauff,7780905,188940,7969845,WTA
5,Amanda Anisimova,7250577,0,7260577,WTA
6,Jessica Pegula,5087528,74783,5262311,WTA
7,Jasmine Paolini,4061399,1192598,5253997,WTA
8,Mirra Andreeva,3958152,718074,4726226,WTA
9,Madison Keys,4324887,22900,4357787,WTA
10,Elise Mertens,1399320,1495709,2895029,WTA
